Area Type,Area Name,2010 Census Population,2020 Census Population,Population Change,Population Percent Change
State,New York State,19378102,20201249,823147,0.0425
County,Albany County,304204,314848,10644,0.035
County,Allegany County,48946,46456,-2490,-0.0509
County,Bronx County,1385108,1472654,87546,0.0632
County,Broome County,200600,198683,-1917,-0.0096
County,Cattaraugus County,80317,77042,-3275,-0.0408
County,Cayuga County,80026,76248,-3778,-0.0472
County,Chautauqua County,134905,127657,-7248,-0.0537
County,Chemung County,88830,84148,-4682,-0.0527
County,Chenango County,50477,47220,-3257,-0.0645
County,Clinton County,82128,79843,-2285,-0.0278
County,Columbia County,63096,61570,-1526,-0.0242
County,Cortland County,49336,46809,-2527,-0.0512
County,Delaware County,47980,44308,-3672,-0.0765
County,Dutchess County,297488,295911,-1577,-0.0053
County,Erie County,919040,954236,35196,0.0383
County,Essex County,39370,37381,-1989,-0.0505
County,Franklin County,51599,47555,-4044,-0.0784
County,Fulton County,55531,53324,-2207,-0.0397
County,Genesee County,60079,58388,-1691,-0.0281
County,Greene County,49221,47931,-1290,-0.0262
County,Hamilton County,4836,5107,271,0.056
County,Herkimer County,64519,60139,-4380,-0.0679
County,Jefferson County,116229,116721,492,0.0042
County,Kings County,2504700,2736074,231374,0.0924
County,Lewis County,27087,26582,-505,-0.0186
County,Livingston County,65393,61834,-3559,-0.0544
County,Madison County,73442,68016,-5426,-0.0739
County,Monroe County,744344,759443,15099,0.0203
County,Montgomery County,50219,49532,-687,-0.0137
County,Nassau County,1339532,1395774,56242,0.042
County,New York County,1585873,1694251,108378,0.0683
County,Niagara County,216469,212666,-3803,-0.0176
County,Oneida County,234878,232125,-2753,-0.0117
County,Onondaga County,467026,476516,9490,0.0203
County,Ontario County,107931,112458,4527,0.0419
County,Orange County,372813,401310,28497,0.0764
County,Orleans County,42883,40343,-2540,-0.0592
County,Oswego County,122109,117525,-4584,-0.0375
County,Otsego County,62259,58524,-3735,-0.06
County,Putnam County,99710,97668,-2042,-0.0205
County,Queens County,2230722,2405464,174742,0.0783
County,Rensselaer County,159429,161130,1701,0.0107
County,Richmond County,468730,495747,27017,0.0576
County,Rockland County,311687,338329,26642,0.0855
County,Saratoga County,219607,235509,15902,0.0724
County,Schenectady County,154727,158061,3334,0.0215
County,Schoharie County,32749,29714,-3035,-0.0927
County,Schuyler County,18343,17898,-445,-0.0243
County,Seneca County,35251,33814,-1437,-0.0408
County,St. Lawrence County,111944,108505,-3439,-0.0307
County,Steuben County,98990,93584,-5406,-0.0546
County,Suffolk County,1493350,1525920,32570,0.0218
County,Sullivan County,77547,78624,1077,0.0139
County,Tioga County,51125,48455,-2670,-0.0522
County,Tompkins County,101564,105740,4176,0.0411
County,Ulster County,182493,181851,-642,-0.0035
County,Warren County,65707,65737,30,0.0005
County,Washington County,63216,61302,-1914,-0.0303
County,Wayne County,93772,91283,-2489,-0.0265
County,Westchester County,949113,1004457,55344,0.0583
County,Wyoming County,42155,40531,-1624,-0.0385
County,Yates County,25348,24774,-574,-0.0226
City,Albany city,97856,99224,1368,0.014
City,Amsterdam city,18620,18219,-401,-0.0215
City,Auburn city,27687,26866,-821,-0.0297
City,Batavia city,15465,15600,135,0.0087
City,Beacon city,15541,13769,-1772,-0.114
City,Binghamton city,47376,47969,593,0.0125
City,Buffalo city,261310,278349,17039,0.0652
City,Canandaigua city,10545,10576,31,0.0029
City,Cohoes city,16168,18147,1979,0.1224
City,Corning city,11183,10551,-632,-0.0565
City,Cortland city,19204,17556,-1648,-0.0858
City,Dunkirk city,12563,12743,180,0.0143
City,Elmira city,29200,26523,-2677,-0.0917
City,Fulton city,11896,11389,-507,-0.0426
City,Geneva city,13261,12812,-449,-0.0339
City,Glen Cove city,26964,28365,1401,0.052
City,Glens Falls city,14700,14830,130,0.0088
City,Gloversville city,15665,15131,-534,-0.0341
City,Hornell city,8563,8263,-300,-0.035
City,Hudson city,6713,5894,-819,-0.122
City,Ithaca city,30014,32108,2094,0.0698
City,Jamestown city,31146,28712,-2434,-0.0781
City,Johnstown city,8743,8204,-539,-0.0616
City,Kingston city,23893,24069,176,0.0074
City,Lackawanna city,18141,19949,1808,0.0997
City,Little Falls city,4946,4605,-341,-0.0689
City,Lockport city,21165,20876,-289,-0.0137
City,Long Beach city,33275,35029,1754,0.0527
City,Mechanicville city,5196,5163,-33,-0.0064
City,Middletown city,28086,30345,2259,0.0804
City,Mount Vernon city,67292,73893,6601,0.0981
