Business Purpose or Industry,Cause of Death,Union Status,City Death Occurred,Date Death Occurred,Georeference
Building Construction,Falls,Non-Union,Nyack,02/08/2022,POINT (-73.918239 41.090984)
Building Components,Struck by Object,Non-Union,Newburgh,03/17/2022,POINT (-74.021352 41.500705)
Building Construction,Falls,Union,Jamestown,04/22/2022,POINT (-79.242051 42.098961)
,Other,,New York City,01/24/2022,POINT (-74.007228 40.713054)
Renovation,Falls,Non-Union,New York City,03/21/2022,POINT (-74.007228 40.713054)
Building Construction,Falls,Non-Union,New York City,04/06/2022,POINT (-74.007228 40.713054)
,Falls,,New York City,02/11/2022,POINT (-74.007228 40.713054)
,Struck by Object,,New York City,01/24/2022,POINT (-74.007228 40.713054)
Other,Falls,Non-Union,New York City,04/11/2022,POINT (-74.007228 40.713054)
,Falls,,New York City,04/12/2022,POINT (-74.007228 40.713054)
,Falls,,New York City,04/26/2022,POINT (-74.007228 40.713054)
,Falls,,New York City,03/21/2021,POINT (-74.007228 40.713054)
,Falls,,New York City,04/06/2022,POINT (-74.007228 40.713054)
,Falls,,White Plains,02/08/2022,POINT (-73.766669 41.032587)
