month,division,line,category,count
2015-01,B DIVISION,Q,Track,2
2015-01,B DIVISION,A,Persons on Trackbed/Police/Medical,1
2015-01,B DIVISION,E,Track,2
2015-01,B DIVISION,A,Track,2
2015-01,B DIVISION,C,Persons on Trackbed/Police/Medical,1
2015-01,B DIVISION,F,Signals,3
2015-01,A DIVISION,6,Subway Car,1
2015-01,B DIVISION,M,Other,2
2015-01,B DIVISION,M,Subway Car,1
2015-01,A DIVISION,5,Other,1
2015-01,A DIVISION,6,Other,1
2015-01,B DIVISION,A,Other,1
2015-01,A DIVISION,2,Persons on Trackbed/Police/Medical,1
2015-01,A DIVISION,1,Signals,1
2015-01,A DIVISION,4,Track,1
2015-01,B DIVISION,F,Track,1
2015-01,B DIVISION,N,Persons on Trackbed/Police/Medical,1
2015-01,A DIVISION,3,Signals,1
2015-01,B DIVISION,R,Subway Car,1
2015-01,B DIVISION,A,Signals,2
2015-01,A DIVISION,5,Persons on Trackbed/Police/Medical,5
2015-01,A DIVISION,6,Track,1
2015-01,A DIVISION,6,Persons on Trackbed/Police/Medical,4
2015-01,A DIVISION,5,Signals,1
2015-01,A DIVISION,4,Persons on Trackbed/Police/Medical,2
2015-01,A DIVISION,1,Track,1
2015-01,A DIVISION,5,Track,1
2015-01,B DIVISION,C,Other,1
2015-01,B DIVISION,C,Signals,1
2015-01,A DIVISION,3,Track,2
2015-01,B DIVISION,M,Signals,2
2015-01,B DIVISION,Q,Persons on Trackbed/Police/Medical,1
2015-01,A DIVISION,2,Signals,1
2015-01,A DIVISION,7,Signals,3
2015-01,B DIVISION,B,Track,2
2015-01,B DIVISION,JZ,Track,1
2015-01,B DIVISION,N,Signals,1
2015-01,A DIVISION,2,Other,2
2015-01,B DIVISION,D,Persons on Trackbed/Police/Medical,1
2015-01,A DIVISION,5,Subway Car,1
2015-01,B DIVISION,E,Signals,2
2015-01,A DIVISION,4,Signals,2
2015-01,B DIVISION,R,Persons on Trackbed/Police/Medical,2
2015-01,A DIVISION,2,Track,1
2015-01,B DIVISION,F,Persons on Trackbed/Police/Medical,1
2015-01,B DIVISION,N,Track,3
2015-01,B DIVISION,Q,Stations and Structure,1
2015-01,A DIVISION,4,Subway Car,1
2015-02,B DIVISION,E,Track,3
2015-02,A DIVISION,6,Other,4
2015-02,B DIVISION,A,Signals,1
2015-02,B DIVISION,M,Other,1
2015-02,A DIVISION,2,Other,2
2015-02,B DIVISION,F,Track,2
2015-02,A DIVISION,3,Signals,1
2015-02,B DIVISION,E,Signals,1
2015-02,A DIVISION,2,Signals,2
2015-02,B DIVISION,F,Signals,1
2015-02,A DIVISION,4,Signals,1
2015-02,B DIVISION,L,Stations and Structure,1
2015-02,B DIVISION,G,Signals,1
2015-02,A DIVISION,7,Signals,3
2015-02,B DIVISION,M,Signals,1
2015-02,B DIVISION,A,Other,3
2015-02,A DIVISION,3,Track,2
2015-02,A DIVISION,1,Signals,2
2015-02,A DIVISION,5,Signals,3
2015-02,B DIVISION,L,Track,2
2015-02,A DIVISION,7,Persons on Trackbed/Police/Medical,1
2015-02,B DIVISION,JZ,Signals,1
2015-02,B DIVISION,R,Other,4
2015-02,B DIVISION,Q,Track,1
2015-02,A DIVISION,6,Persons on Trackbed/Police/Medical,2
2015-02,B DIVISION,C,Persons on Trackbed/Police/Medical,1
2015-02,B DIVISION,L,Subway Car,1
2015-02,B DIVISION,D,Subway Car,1
2015-02,B DIVISION,N,Track,1
2015-02,A DIVISION,3,Other,1
2015-02,A DIVISION,7,Track,2
2015-02,A DIVISION,3,Persons on Trackbed/Police/Medical,2
2015-02,B DIVISION,Q,Other,1
2015-02,B DIVISION,N,Persons on Trackbed/Police/Medical,1
2015-02,B DIVISION,E,Stations and Structure,1
2015-02,B DIVISION,M,Track,1
2015-02,A DIVISION,1,Track,1
2015-02,B DIVISION,B,Stations and Structure,1
2015-02,B DIVISION,N,Signals,3
2015-02,A DIVISION,4,Other,2
2015-02,A DIVISION,1,Persons on Trackbed/Police/Medical,1
2015-02,B DIVISION,R,Persons on Trackbed/Police/Medical,1
2015-02,A DIVISION,5,Persons on Trackbed/Police/Medical,1
2015-02,A DIVISION,2,Track,3
2015-02,B DIVISION,R,Track,3
2015-02,B DIVISION,C,Signals,1
2015-02,B DIVISION,D,Signals,1
2015-03,A DIVISION,5,Persons on Trackbed/Police/Medical,3
2015-03,A DIVISION,1,Persons on Trackbed/Police/Medical,1
2015-03,B DIVISION,M,Track,1
2015-03,B DIVISION,B,Track,1
2015-03,B DIVISION,L,Track,2
2015-03,B DIVISION,D,Track,2
2015-03,B DIVISION,R,Track,3
2015-03,A DIVISION,4,Other,1
2015-03,A DIVISION,4,Persons on Trackbed/Police/Medical,3
2015-03,B DIVISION,R,Subway Car,1
2015-03,B DIVISION,F,Signals,3
2015-03,B DIVISION,G,Track,1
2015-03,A DIVISION,3,Persons on Trackbed/Police/Medical,3
2015-03,A DIVISION,5,Track,2
2015-03,B DIVISION,C,Track,1
2015-03,B DIVISION,N,Track,2
2015-03,B DIVISION,A,Persons on Trackbed/Police/Medical,1
2015-03,A DIVISION,2,Track,1
2015-03,B DIVISION,E,Subway Car,1
2015-03,A DIVISION,3,Signals,2
2015-03,A DIVISION,6,Track,1
2015-03,B DIVISION,R,Persons on Trackbed/Police/Medical,2
2015-03,B DIVISION,E,Track,2
2015-03,B DIVISION,E,Signals,2
2015-03,B DIVISION,R,Other,1
2015-03,B DIVISION,C,Signals,1
2015-03,B DIVISION,D,Persons on Trackbed/Police/Medical,1
2015-03,A DIVISION,6,Persons on Trackbed/Police/Medical,2
2015-03,B DIVISION,Q,Track,1
2015-03,A DIVISION,7,Track,6
2015-03,B DIVISION,F,Track,1
2015-03,B DIVISION,A,Signals,1
2015-03,B DIVISION,C,Persons on Trackbed/Police/Medical,2
2015-03,B DIVISION,N,Other,1
2015-03,A DIVISION,1,Other,2
2015-03,A DIVISION,4,Track,1
2015-03,A DIVISION,3,Track,3
2015-03,B DIVISION,F,Subway Car,1
2015-03,A DIVISION,2,Signals,3
2015-03,A DIVISION,6,Signals,4
2015-03,A DIVISION,3,Other,1
2015-04,A DIVISION,5,Track,1
2015-04,A DIVISION,2,Persons on Trackbed/Police/Medical,2
2015-04,B DIVISION,M,Signals,1
2015-04,A DIVISION,3,Track,1
2015-04,B DIVISION,R,Persons on Trackbed/Police/Medical,1
2015-04,B DIVISION,N,Other,1
2015-04,A DIVISION,4,Signals,1
2015-04,B DIVISION,R,Track,1
2015-04,B DIVISION,E,Track,1
